subjectCode,topicName,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,difficulty,year,examType
BIO,Cell Biology,"What is the basic unit of life?",Tissue,Organ,Cell,System,C,"The cell is the smallest structural and functional unit of all living organisms",EASY,2024,JAMB
BIO,Cell Biology,"Which organelle is responsible for protein synthesis?",Nucleus,Ribosome,Mitochondria,Golgi apparatus,B,"Ribosomes are the sites where proteins are synthesized from amino acids",EASY,2024,JAMB
BIO,Cell Biology,"What is the function of the cell membrane?",Energy production,Protein synthesis,Selective permeability,DNA storage,C,"The cell membrane controls what enters and exits the cell through selective permeability",EASY,2024,JAMB
BIO,Cell Biology,"Which organelle is known as the powerhouse of the cell?",Nucleus,Chloroplast,Mitochondria,Ribosome,C,"Mitochondria produce ATP through cellular respiration, providing energy for cellular processes",EASY,2024,JAMB
BIO,Cell Biology,"What type of microscope is used to view living cells?",Electron microscope,Light microscope,Scanning microscope,Fluorescence microscope,B,"Light microscopes allow observation of living cells without killing them",MEDIUM,2023,JAMB
BIO,Cell Biology,"Which process allows water to move across cell membranes?",Active transport,Osmosis,Endocytosis,Exocytosis,B,"Osmosis is the movement of water across a semipermeable membrane from high to low concentration",MEDIUM,2023,JAMB
BIO,Cell Biology,"What is the pH range of most living cells?",5.0-6.0,6.8-7.4,8.0-9.0,9.5-10.5,B,"Most living cells maintain a pH between 6.8-7.4 for optimal enzyme function",MEDIUM,2022,JAMB
BIO,Cell Biology,"Which organelle contains digestive enzymes?",Lysosome,Peroxisome,Ribosome,Centrosome,A,"Lysosomes contain digestive enzymes that break down waste materials and cellular debris",MEDIUM,2022,JAMB
BIO,Cell Biology,"What is the function of the endoplasmic reticulum?",DNA replication,Protein and lipid synthesis,Energy production,Cell division,B,"The ER synthesizes proteins (rough ER) and lipids (smooth ER)",HARD,2021,JAMB
BIO,Cell Biology,"Which structure regulates the entry and exit of materials in the nucleus?",Nuclear membrane,Nuclear pore,Nucleolus,Chromatin,B,"Nuclear pores are selective channels that control molecular traffic between nucleus and cytoplasm",HARD,2020,JAMB
BIO,Genetics,"What is a gene?",A type of cell,A hereditary unit,A chromosome,An enzyme,B,"A gene is a hereditary unit that carries information from parents to offspring",EASY,2024,JAMB
BIO,Genetics,"How many chromosomes does a normal human have?",23,44,46,48,C,"Humans have 46 chromosomes arranged in 23 pairs",EASY,2024,JAMB
BIO,Genetics,"What is the process of cell division that produces gametes?",Mitosis,Meiosis,Binary fission,Budding,B,"Meiosis produces gametes (sex cells) with half the chromosome number",EASY,2023,JAMB
BIO,Genetics,"Which scientist is known as the father of genetics?",Charles Darwin,Gregor Mendel,Louis Pasteur,Alexander Fleming,B,"Gregor Mendel discovered the basic principles of heredity through his pea plant experiments",EASY,2023,JAMB
BIO,Genetics,"What is a dominant allele?",Always expressed,Never expressed,Sometimes expressed,Rarely expressed,A,"A dominant allele is always expressed when present, masking recessive alleles",MEDIUM,2022,JAMB
BIO,Genetics,"In a monohybrid cross between Tt x Tt, what is the phenotypic ratio?",1:1,2:1,3:1,1:2:1,C,"The phenotypic ratio is 3:1 (3 dominant : 1 recessive)",MEDIUM,2022,JAMB
BIO,Genetics,"What is the genetic makeup of an organism called?",Phenotype,Genotype,Karyotype,Allotype,B,"Genotype refers to the genetic constitution of an organism",MEDIUM,2021,JAMB
BIO,Genetics,"Which type of mutation involves the loss of a chromosome segment?",Insertion,Deletion,Inversion,Translocation,B,"Deletion is the loss of a chromosome segment containing one or more genes",HARD,2021,JAMB
BIO,Genetics,"What is the probability of two heterozygous parents (Aa x Aa) having a homozygous recessive offspring?",25%,50%,75%,100%,A,"The probability is 1/4 or 25% for aa genotype",HARD,2020,JAMB
BIO,Genetics,"Which process increases genetic variation in sexually reproducing organisms?",Mitosis,Crossing over,DNA replication,Transcription,B,"Crossing over during meiosis increases genetic variation by exchanging chromosome segments",HARD,2020,JAMB
BIO,Evolution,"Who proposed the theory of evolution by natural selection?",Lamarck,Darwin,Mendel,Watson,B,"Charles Darwin proposed the theory of evolution by natural selection",EASY,2024,JAMB
BIO,Evolution,"What is natural selection?",Random mating,Survival of the fittest,Genetic drift,Gene flow,B,"Natural selection favors individuals with traits that enhance survival and reproduction",EASY,2024,JAMB
BIO,Evolution,"Which evidence supports evolution?",Fossil records,Comparative anatomy,Molecular biology,All of the above,D,"All these provide evidence for evolution through different approaches",EASY,2023,JAMB
BIO,Evolution,"What are homologous structures?",Same function different origin,Same origin different function,Same origin same function,Different origin different function,B,"Homologous structures have the same evolutionary origin but may have different functions",EASY,2023,JAMB
BIO,Evolution,"Which type of evolution occurs when unrelated species develop similar traits?",Divergent evolution,Convergent evolution,Parallel evolution,Coevolution,B,"Convergent evolution produces similar traits in unrelated species due to similar environmental pressures",MEDIUM,2022,JAMB
BIO,Evolution,"What is speciation?",Formation of new species,Extinction of species,Migration of species,Adaptation of species,A,"Speciation is the evolutionary process by which new species arise",MEDIUM,2022,JAMB
BIO,Evolution,"Which mechanism of evolution involves random changes in allele frequencies?",Natural selection,Genetic drift,Gene flow,Mutation,B,"Genetic drift causes random changes in allele frequencies, especially in small populations",MEDIUM,2021,JAMB
BIO,Evolution,"What is adaptive radiation?",Single species evolving into multiple species,Multiple species evolving into one,Species becoming extinct,Species migrating,A,"Adaptive radiation is the evolution of multiple species from a single ancestral species",HARD,2021,JAMB
BIO,Evolution,"Which concept explains the gradual change in species over time?",Punctuated equilibrium,Gradualism,Catastrophism,Uniformitarianism,B,"Gradualism suggests that evolutionary change occurs slowly and steadily over long periods",HARD,2020,JAMB
BIO,Evolution,"What is the Hardy-Weinberg principle used to calculate?",Mutation rates,Allele frequencies,Selection pressure,Migration rates,B,"The Hardy-Weinberg principle calculates allele and genotype frequencies in populations",HARD,2020,JAMB
BIO,Ecology,"What is ecology?",Study of cells,Study of organisms and environment,Study of genetics,Study of evolution,B,"Ecology is the study of interactions between organisms and their environment",EASY,2024,JAMB
BIO,Ecology,"What is a food chain?",Energy transfer pathway,Water cycle,Carbon cycle,Nitrogen cycle,A,"A food chain shows the transfer of energy from one organism to another",EASY,2024,JAMB
BIO,Ecology,"Which organisms are primary producers?",Herbivores,Carnivores,Plants,Decomposers,C,"Plants are primary producers as they make their own food through photosynthesis",EASY,2023,JAMB
BIO,Ecology,"What is a habitat?",Food of an organism,Role of an organism,Home of an organism,Behavior of an organism,C,"A habitat is the natural environment where an organism lives",EASY,2023,JAMB
BIO,Ecology,"Which factor is density-dependent?",Temperature,Rainfall,Competition,Light intensity,C,"Competition increases as population density increases, making it density-dependent",MEDIUM,2022,JAMB
BIO,Ecology,"What is the carrying capacity of an environment?",Minimum population size,Maximum population size,Average population size,Optimal population size,B,"Carrying capacity is the maximum population size an environment can sustain",MEDIUM,2022,JAMB
BIO,Ecology,"Which type of succession occurs on bare rock?",Primary succession,Secondary succession,Tertiary succession,Quaternary succession,A,"Primary succession begins on bare rock or newly formed surfaces",MEDIUM,2021,JAMB
BIO,Ecology,"What is biomagnification?",Increase in organism size,Increase in population size,Concentration of toxins up food chain,Increase in biodiversity,C,"Biomagnification is the increasing concentration of toxins at higher trophic levels",HARD,2021,JAMB
BIO,Ecology,"Which biome has the highest biodiversity?",Desert,Tundra,Tropical rainforest,Grassland,C,"Tropical rainforests have the highest biodiversity due to favorable climate conditions",HARD,2020,JAMB
BIO,Ecology,"What is the greenhouse effect?",Cooling of Earth,Warming of Earth,Ozone depletion,Acid rain,B,"The greenhouse effect is the warming of Earth due to heat-trapping gases in the atmosphere",HARD,2020,JAMB
BIO,Human Physiology,"What is the largest organ in the human body?",Heart,Liver,Brain,Skin,D,"The skin is the largest organ, covering the entire body surface",EASY,2024,JAMB
BIO,Human Physiology,"How many chambers does the human heart have?",2,3,4,5,C,"The human heart has four chambers: two atria and two ventricles",EASY,2024,JAMB
BIO,Human Physiology,"Which blood vessels carry blood away from the heart?",Veins,Arteries,Capillaries,Venules,B,"Arteries carry oxygenated blood away from the heart to body tissues",EASY,2023,JAMB
BIO,Human Physiology,"What is the normal human body temperature?",35°C,36°C,37°C,38°C,C,"Normal human body temperature is approximately 37°C or 98.6°F",EASY,2023,JAMB
BIO,Human Physiology,"Which organ produces insulin?",Liver,Kidney,Pancreas,Stomach,C,"The pancreas produces insulin to regulate blood glucose levels",EASY,2022,JAMB
BIO,Human Physiology,"What is the function of red blood cells?",Oxygen transport,Fighting infection,Blood clotting,Hormone production,A,"Red blood cells contain hemoglobin which transports oxygen from lungs to tissues",MEDIUM,2022,JAMB
BIO,Human Physiology,"Which part of the brain controls balance?",Cerebrum,Cerebellum,Medulla,Hypothalamus,B,"The cerebellum coordinates movement and maintains balance",MEDIUM,2021,JAMB
BIO,Human Physiology,"What is the pH of normal blood?",6.4,7.0,7.4,8.0,C,"Normal blood pH is maintained at approximately 7.4",MEDIUM,2021,JAMB
BIO,Human Physiology,"Which hormone regulates the sleep-wake cycle?",Insulin,Melatonin,Adrenaline,Thyroxine,B,"Melatonin is produced by the pineal gland and regulates circadian rhythms",MEDIUM,2020,JAMB
BIO,Human Physiology,"What is the functional unit of the kidney?",Glomerulus,Nephron,Ureter,Bladder,B,"The nephron is the functional unit of the kidney responsible for filtration",HARD,2020,JAMB
BIO,Human Physiology,"Which type of immunity is acquired through vaccination?",Natural active,Natural passive,Artificial active,Artificial passive,C,"Vaccination provides artificial active immunity by introducing antigens",HARD,2024,JAMB
BIO,Human Physiology,"What is the role of the sinoatrial node?",Blood filtration,Heart pacemaker,Hormone production,Digestion,B,"The SA node acts as the heart's natural pacemaker, initiating heartbeats",HARD,2023,JAMB
BIO,Human Physiology,"Which process occurs in the alveoli?",Digestion,Gas exchange,Blood formation,Hormone secretion,B,"Gas exchange between oxygen and carbon dioxide occurs in the alveoli",HARD,2022,JAMB
BIO,Human Physiology,"What is the normal range for human blood pressure?",90/60 mmHg,120/80 mmHg,140/90 mmHg,160/100 mmHg,B,"Normal blood pressure is approximately 120/80 mmHg",MEDIUM,2021,JAMB
BIO,Human Physiology,"Which gland is known as the master gland?",Thyroid,Adrenal,Pituitary,Pancreas,C,"The pituitary gland controls other endocrine glands and is called the master gland",HARD,2020,JAMB
BIO,Plant Physiology,"What is photosynthesis?",Breakdown of glucose,Synthesis of glucose using light,Respiration in plants,Water absorption,B,"Photosynthesis is the process by which plants synthesize glucose using light energy",EASY,2024,JAMB
BIO,Plant Physiology,"Which pigment is responsible for the green color in plants?",Carotene,Chlorophyll,Anthocyanin,Xanthophyll,B,"Chlorophyll is the green pigment that captures light energy for photosynthesis",EASY,2024,JAMB
BIO,Plant Physiology,"Where does photosynthesis occur in plant cells?",Nucleus,Mitochondria,Chloroplast,Ribosome,C,"Photosynthesis occurs in chloroplasts, which contain chlorophyll",EASY,2023,JAMB
BIO,Plant Physiology,"What is transpiration?",Water absorption,Water loss through leaves,Photosynthesis,Respiration,B,"Transpiration is the loss of water vapor from plant leaves through stomata",EASY,2023,JAMB
BIO,Plant Physiology,"Which part of the plant is responsible for water absorption?",Stem,Leaves,Roots,Flowers,C,"Roots absorb water and minerals from the soil",EASY,2022,JAMB
BIO,Plant Physiology,"What are stomata?",Leaf pores,Root hairs,Stem tissues,Flower parts,A,"Stomata are small pores on leaf surfaces that regulate gas exchange",MEDIUM,2022,JAMB
BIO,Plant Physiology,"Which hormone promotes plant growth?",Auxin,Insulin,Adrenaline,Thyroxine,A,"Auxin is a plant hormone that promotes cell elongation and growth",MEDIUM,2021,JAMB
BIO,Plant Physiology,"What is the function of xylem?",Food transport,Water transport,Gas exchange,Photosynthesis,B,"Xylem transports water and minerals from roots to other parts of the plant",MEDIUM,2021,JAMB
BIO,Plant Physiology,"Which process occurs in plant roots during respiration?",Photosynthesis,Oxygen consumption,Light absorption,Chlorophyll production,B,"Plant roots consume oxygen during cellular respiration to produce energy",MEDIUM,2020,JAMB
BIO,Plant Physiology,"What is the role of phloem?",Water transport,Food transport,Gas exchange,Support,B,"Phloem transports organic nutrients, especially sugars, throughout the plant",HARD,2020,JAMB
BIO,Plant Physiology,"Which factor does NOT affect the rate of photosynthesis?",Light intensity,Temperature,CO2 concentration,Soil pH,D,"Soil pH does not directly affect photosynthesis rate, unlike light, temperature, and CO2",HARD,2024,JAMB
BIO,Plant Physiology,"What is photoperiodism?",Response to light intensity,Response to day length,Response to temperature,Response to humidity,B,"Photoperiodism is a plant's response to the length of day and night periods",HARD,2023,JAMB
BIO,Plant Physiology,"Which type of photosynthesis is most efficient in hot, dry conditions?",C3,C4,CAM,All are equal,C,"CAM photosynthesis is most efficient in hot, dry conditions as it minimizes water loss",HARD,2022,JAMB
BIO,Plant Physiology,"What is the compensation point in photosynthesis?",Maximum photosynthesis rate,Minimum light required,Point where photosynthesis equals respiration,Optimal temperature,C,"The compensation point is where photosynthesis rate equals respiration rate",HARD,2021,JAMB
BIO,Plant Physiology,"Which structure controls the opening and closing of stomata?",Epidermis,Guard cells,Mesophyll,Cuticle,B,"Guard cells surround stomata and control their opening and closing",MEDIUM,2020,JAMB
BIO,Classification,"What is taxonomy?",Study of diseases,Science of classification,Study of fossils,Study of behavior,B,"Taxonomy is the science of classifying and naming organisms",EASY,2024,JAMB
BIO,Classification,"Who developed the binomial nomenclature system?",Darwin,Mendel,Linnaeus,Pasteur,C,"Carl Linnaeus developed the binomial nomenclature system for naming organisms",EASY,2024,JAMB
BIO,Classification,"How many kingdoms are in the modern classification system?",3,4,5,6,C,"The modern classification system recognizes five kingdoms of life",EASY,2023,JAMB
BIO,Classification,"Which kingdom includes bacteria?",Monera,Protista,Fungi,Plantae,A,"Kingdom Monera includes all prokaryotic organisms, including bacteria",EASY,2023,JAMB
BIO,Classification,"What is the correct order of taxonomic hierarchy?",Kingdom-Phylum-Class-Order-Family-Genus-Species,Species-Genus-Family-Order-Class-Phylum-Kingdom,Kingdom-Class-Phylum-Order-Family-Genus-Species,Phylum-Kingdom-Class-Order-Family-Genus-Species,A,"The correct hierarchy is Kingdom-Phylum-Class-Order-Family-Genus-Species",MEDIUM,2022,JAMB
BIO,Classification,"Which characteristic is used to classify organisms into kingdoms?",Size,Color,Cell structure,Habitat,C,"Cell structure (prokaryotic vs eukaryotic) is a primary basis for kingdom classification",MEDIUM,2022,JAMB
BIO,Classification,"What type of organisms belong to Kingdom Fungi?",Autotrophs,Heterotrophs,Photosynthetic,Chemosynthetic,B,"Fungi are heterotrophic organisms that obtain nutrients by decomposition or parasitism",MEDIUM,2021,JAMB
BIO,Classification,"Which domain includes organisms with nuclei?",Bacteria,Archaea,Eukarya,Prokaryota,C,"Domain Eukarya includes all organisms with membrane-bound nuclei",HARD,2021,JAMB
BIO,Classification,"What is a species?",Group of similar organisms,Organisms that can interbreed,Organisms in same habitat,Organisms with same diet,B,"A species is defined as organisms that can interbreed and produce fertile offspring",HARD,2020,JAMB
BIO,Classification,"Which system uses two names for each organism?",Polynomial,Binomial,Trinomial,Uninomial,B,"Binomial nomenclature uses two names: genus and species",MEDIUM,2020,JAMB
BIO,Nutrition,"What is nutrition?",Process of growth,Process of obtaining food,Process of reproduction,Process of excretion,B,"Nutrition is the process by which organisms obtain and utilize food for energy and growth",EASY,2024,JAMB
BIO,Nutrition,"Which type of nutrition do plants exhibit?",Heterotrophic,Autotrophic,Parasitic,Saprophytic,B,"Plants exhibit autotrophic nutrition by making their own food through photosynthesis",EASY,2024,JAMB
BIO,Nutrition,"What are the main types of nutrients?",Carbohydrates and proteins,Carbohydrates proteins and fats,Carbohydrates proteins fats vitamins and minerals,Only vitamins and minerals,C,"The main nutrients are carbohydrates, proteins, fats, vitamins, and minerals",EASY,2023,JAMB
BIO,Nutrition,"Which nutrient provides the most energy per gram?",Carbohydrates,Proteins,Fats,Vitamins,C,"Fats provide 9 calories per gram, more than carbohydrates and proteins (4 calories each)",EASY,2023,JAMB
BIO,Nutrition,"What is the primary function of carbohydrates?",Building tissues,Energy source,Fighting diseases,Regulating metabolism,B,"Carbohydrates serve as the primary source of energy for cellular processes",MEDIUM,2022,JAMB
BIO,Nutrition,"Which vitamin deficiency causes scurvy?",Vitamin A,Vitamin B,Vitamin C,Vitamin D,C,"Scurvy is caused by vitamin C deficiency, leading to connective tissue problems",MEDIUM,2022,JAMB
BIO,Nutrition,"What type of nutrition do fungi exhibit?",Autotrophic,Heterotrophic,Chemosynthetic,Photosynthetic,B,"Fungi are heterotrophic, obtaining nutrients by decomposing organic matter",MEDIUM,2021,JAMB
BIO,Nutrition,"Which process breaks down complex food molecules?",Absorption,Digestion,Excretion,Circulation,B,"Digestion breaks down complex food molecules into simpler, absorbable forms",HARD,2021,JAMB
BIO,Nutrition,"What is kwashiorkor?",Vitamin deficiency,Protein deficiency,Carbohydrate deficiency,Fat deficiency,B,"Kwashiorkor is a severe protein deficiency disease common in developing countries",HARD,2020,JAMB
BIO,Nutrition,"Which enzyme begins protein digestion?",Amylase,Pepsin,Lipase,Trypsin,B,"Pepsin is the enzyme that begins protein digestion in the stomach",HARD,2020,JAMB
BIO,Reproduction,"What is reproduction?",Process of growth,Process of producing offspring,Process of nutrition,Process of excretion,B,"Reproduction is the biological process by which organisms produce offspring",EASY,2024,JAMB
BIO,Reproduction,"Which type of reproduction involves only one parent?",Sexual reproduction,Asexual reproduction,Binary reproduction,Multiple reproduction,B,"Asexual reproduction involves only one parent and produces genetically identical offspring",EASY,2024,JAMB
BIO,Reproduction,"What are gametes?",Body cells,Sex cells,Blood cells,Nerve cells,B,"Gametes are specialized sex cells (sperm and egg) involved in sexual reproduction",EASY,2023,JAMB
BIO,Reproduction,"Which process produces gametes?",Mitosis,Meiosis,Binary fission,Budding,B,"Meiosis is the process that produces gametes with half the chromosome number",EASY,2023,JAMB
BIO,Reproduction,"What is fertilization?",Cell division,Fusion of gametes,Growth of organism,Death of organism,B,"Fertilization is the fusion of male and female gametes to form a zygote",MEDIUM,2022,JAMB
BIO,Reproduction,"Which hormone regulates the menstrual cycle?",Insulin,Estrogen,Adrenaline,Thyroxine,B,"Estrogen is one of the key hormones that regulates the menstrual cycle",MEDIUM,2022,JAMB
BIO,Reproduction,"What is the gestation period in humans?",6 months,9 months,12 months,15 months,B,"Human gestation period is approximately 9 months or 40 weeks",MEDIUM,2021,JAMB
BIO,Reproduction,"Which structure develops into a seed in flowering plants?",Petal,Sepal,Ovule,Stamen,C,"The ovule develops into a seed after fertilization in flowering plants",HARD,2021,JAMB
BIO,Reproduction,"What is parthenogenesis?",Sexual reproduction,Asexual reproduction from unfertilized egg,Binary fission,Budding,B,"Parthenogenesis is reproduction from an unfertilized egg, common in some insects",HARD,2020,JAMB
BIO,Reproduction,"Which part of the flower produces pollen?",Pistil,Stamen,Petal,Sepal,B,"The stamen is the male reproductive organ that produces pollen",MEDIUM,2020,JAMB